myanglish,burmese,frequency
software,ဆော့ဖ်ဝဲလ်,9000
sorry,ဆောရီး,9000
speaker,စပီကာ,9000
stadium,စတေဒီယံ,9000
stereo,စတီရီယို,9000
sticker,စတစ်ကာ,9000
store,စတိုး,9000
strawberry,စတော်ဘယ်ရီ,9000
supermarket,စူပါမားကတ်,9000
sweater,ဆွယ်တာ,9000
symphony,ဆင်ဖိုနီ,9000
t-shirt,တီရှပ်,9000
tank,တင့်ကား,9000
taxi,တက္ကစီ,9000
teacher,တီချယ်,9000
telephone,တယ်လီဖုန်း,9000
television,တယ်လီဗီးရှင်း,9000
tender,တင်ဒါ,9000
tennis,တင်းနစ်,9000
tire,တာယာ,9000
token,တိုကင်,9000
ton,တန်,9000
tshirt,တီရှပ်,9000
tv,တီဗီ,9000
typhoon,တိုင်ဖွန်း,9000
tyre,တာယာ,9000
usb,ယူအက်စ်ဘီ,9000
video,ဗီဒီယို,9000
web,ဝက်ဘ်,9000
website,ဝက်ဘ်ဆိုဒ်,9000
wi-fi,ဝိုင်ဖိုင်,9000
wifi,ဝိုင်ဖိုင်,9000
zinc,ဇင့်ခ်,9000
zip,ဇစ်,9000
