myanglish,burmese,frequency
price,ပရိုက်စ်,8940
printer,ပရင်တာ,8940
product,ပရောဒတ်,8940
professor,ပရော်ဖက်ဆာ,8940
program,ပရိုဂရမ်,8940
project,ပရောဂျက်,8940
protein,ပရိုတင်း,8940
radio,ရေဒီယို,8940
receipt,ရစီ,8940
report,ရီပို့တ်,8940
restaurant,စားသောက်ဆိုင်,8940
robot,ရိုဘော့,8940
salad,ဆလတ်,8940
salary,လစာ,8940
salary,ဆယ်လာရီ,8930
sale,ဆေးလ်,8940
sandal,စန္ဒကူး,8940
sandal,ဆန်းဒယ်,8930
sandwich,ဆန်းဒဝစ်ချ်,8940
sausage,ဆော့ဆစ်,8940
scanner,စကင်နာ,8940
science,ဆိုင်းယန့်စ်,8940
screen,စခရင်,8940
seminar,ဆီမီနာ,8940
server,ဆာဗာ,8940
service,ဆားဗစ်,8940
setting,ဆက်တင်,8940
shampoo,ရှမ်ပူ,8940
shirt,ရှပ်,8940
shop,ရှော့ပ်,8940
shopping,ရှော့ပင်း,8940
sim,ဆင်းမ်,8940
size,ဆိုဒ်,8940
skirt,စကတ်,8940
smartphone,စမတ်ဖုန်း,8940
soda,ဆိုဒါ,8940
sofa,ဆိုဖာ,8940
software,ဆော့ဖ်ဝဲ,8940
solar,ဆိုလာ,8940
song,ဆောင်း,8940
speaker,စပီကာ,8940
sport,စပို့တ်,8940
spray,စပရေး,8940
staff,စတပ်ဖ်,8940
station,စတေးရှင်း,8940
stock,စတော့,8940
store,စတိုး,8940
style,စတိုင်,8940
supermarket,စူပါမားကက်,8940
sweater,ဆွယ်တာ,8940
switch,ဆွစ်ချ်,8940
system,စစ်စတမ်,8940
t-shirt,တီရှပ်,8940
table,တေဘယ်,8940
tablet,တက်ဘလက်,8940
taxi,တက္ကစီ,8940
team,တီမ်,8940
technology,တက်ကနော်လော်ဂျီ,8940
television,တယ်လီဗေးရှင်း,8940
tennis,တင်းနစ်,8940
terminal,တာမီနယ်,8940
test,တက်စ်,8940
ticket,တစ်ကက်,8940
touchscreen,တပ်ချ်စခရင်,8940
train,ထရိန်,8940
transformer,ထရန်စဖော်မာ,8940
truck,ထရပ်ကား,8940
tshirt,တီရှပ်,8940
tv,တီဗီ,8940
uniform,ယူနီဖောင်း,8940
university,ယူနီဗာစတီ,8940
update,အပ်ဒိတ်,8940
upload,အပ်လုဒ်,8940
usb,ယူအက်စ်ဘီ,8940
van,ဗင်,8940
video,ဗီဒီယို,8940
violin,ဗိုင်အိုလင်,8940
virus,ဗိုင်းရပ်စ်,8940
visa,ဗီဇာ,8940
vitamin,ဗီတာမင်,8940
volleyball,ဘော်လီဘော,8940
website,ဝက်ဘ်ဆိုက်,8940
wi-fi,ဝိုင်ဖိုင်,8940
wifi,ဝိုင်ဖိုင်,8940
